epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.0507,1.42843,4.01817,1.36318,0.34422,0.2352,0.18809,0.12875,1.29856,3.52836,1.31375,5.09531e-05,5.09531e-05,5.09531e-05
2,82.0343,1.31172,2.42477,1.26017,0.51903,0.52924,0.55611,0.36554,1.26038,2.29867,1.30952,0.000101274,0.000101274,0.000101274
3,114.271,1.26499,1.74664,1.2199,0.71022,0.64844,0.74915,0.48388,1.24334,1.74968,1.29031,0.000150578,0.000150578,0.000150578
4,146.506,1.22873,1.42436,1.20507,0.77757,0.74219,0.81223,0.53027,1.23087,1.44679,1.26868,0.000149426,0.000149426,0.000149426
5,179.161,1.19217,1.25466,1.18447,0.8048,0.79773,0.86126,0.56074,1.21274,1.25838,1.25251,0.000147902,0.000147902,0.000147902
6,213.658,1.18411,1.14065,1.17859,0.82056,0.82504,0.88115,0.5727,1.22186,1.17105,1.26201,0.000146377,0.000146377,0.000146377
7,247.716,1.1744,1.06779,1.17184,0.84243,0.83827,0.88548,0.58211,1.19361,1.08773,1.25703,0.000144852,0.000144852,0.000144852
8,281.465,1.14229,0.99737,1.1497,0.8484,0.85824,0.90048,0.58778,1.2035,1.032,1.2527,0.000143328,0.000143328,0.000143328
9,314.055,1.14428,0.96217,1.15652,0.85079,0.85862,0.90387,0.59375,1.19557,0.94949,1.2462,0.000141803,0.000141803,0.000141803
10,346.32,1.12518,0.92863,1.14902,0.86879,0.8656,0.91123,0.60125,1.19048,0.95235,1.25448,0.000140279,0.000140279,0.000140279
11,378.507,1.09123,0.85754,1.11881,0.86931,0.87325,0.91316,0.59873,1.21098,0.90977,1.26127,0.000138754,0.000138754,0.000138754
12,410.544,1.12565,0.87345,1.148,0.88089,0.8836,0.91675,0.60102,1.19856,0.8793,1.26323,0.000137229,0.000137229,0.000137229
13,444.23,1.09835,0.83442,1.13397,0.87154,0.88834,0.92179,0.6036,1.19479,0.86536,1.26643,0.000135705,0.000135705,0.000135705
14,477.951,1.10514,0.84242,1.13575,0.88496,0.88125,0.92424,0.59677,1.23584,0.85561,1.26341,0.00013418,0.00013418,0.00013418
15,512.007,1.09336,0.81693,1.13148,0.88289,0.89702,0.92299,0.61216,1.18318,0.82788,1.2566,0.000132656,0.000132656,0.000132656
16,545.207,1.07795,0.79011,1.11984,0.88893,0.89048,0.9286,0.60861,1.19931,0.79712,1.26004,0.000131131,0.000131131,0.000131131
17,577.378,1.06472,0.78416,1.13277,0.89122,0.87363,0.91519,0.58809,1.26931,0.84018,1.2825,0.000129606,0.000129606,0.000129606
18,609.434,1.05633,0.75411,1.11059,0.88857,0.89761,0.92304,0.61155,1.19851,0.78903,1.24827,0.000128082,0.000128082,0.000128082
19,641.6,1.0567,0.74935,1.11092,0.89375,0.90605,0.93188,0.60302,1.24159,0.77484,1.26803,0.000126557,0.000126557,0.000126557
20,674.877,1.03226,0.71998,1.10542,0.89164,0.89991,0.9328,0.60979,1.22419,0.78018,1.25885,0.000125033,0.000125033,0.000125033
21,708.89,1.02851,0.72441,1.10013,0.89825,0.89258,0.92681,0.60025,1.23203,0.79245,1.27931,0.000123508,0.000123508,0.000123508
22,742.38,1.02476,0.70797,1.09766,0.89217,0.88725,0.92201,0.59275,1.25689,0.78179,1.27029,0.000121983,0.000121983,0.000121983
23,775.846,1.02866,0.69988,1.10285,0.88333,0.90673,0.92695,0.59596,1.26338,0.76092,1.27177,0.000120459,0.000120459,0.000120459
24,807.805,1.0171,0.69154,1.10185,0.90081,0.91434,0.93294,0.60147,1.23891,0.72355,1.27906,0.000118934,0.000118934,0.000118934
25,839.853,1.01569,0.67284,1.10166,0.89261,0.91307,0.92866,0.59726,1.25342,0.73274,1.28659,0.00011741,0.00011741,0.00011741
26,872.072,0.9982,0.67355,1.09218,0.90111,0.90162,0.92525,0.59081,1.29085,0.73754,1.30905,0.000115885,0.000115885,0.000115885
27,904.578,0.99514,0.65755,1.09418,0.90399,0.90605,0.93571,0.59959,1.26289,0.71724,1.28826,0.00011436,0.00011436,0.00011436
28,938.564,0.97435,0.63936,1.08103,0.90991,0.91401,0.94114,0.60217,1.27822,0.70009,1.29365,0.000112836,0.000112836,0.000112836
29,972.57,0.96775,0.62752,1.07584,0.91023,0.91706,0.9386,0.5976,1.27603,0.69964,1.32755,0.000111311,0.000111311,0.000111311
30,1006.45,0.96114,0.6252,1.07203,0.90777,0.91832,0.93561,0.59386,1.30707,0.69389,1.32043,0.000109787,0.000109787,0.000109787
